City,Country,Max Temperature,Humidity,Wind Speed,Latitude,Longditude,Cloudiness,Date
Bud,NO,4.0,69,11.8,62.91,6.91,40,1553377800
Broken Hill,AU,23.0,56,5.1,-31.97,141.45,75,1553374800
Chegdomyn,RU,-22.08,57,1.22,51.13,133.04,0,1553378334
Semnan,IR,3.67,43,1.47,35.58,53.39,64,1553378334
Along,IN,11.07,95,0.77,28.17,94.8,36,1553378550
Kastamonu,TR,-3.38,81,2.12,41.38,33.78,64,1553378335
Strezhevoy,RU,-3.0,92,2.0,60.73,77.6,75,1553374800
Finnsnes,NO,3.0,59,6.2,69.23,17.98,92,1553377800
Lins,BR,27.82,66,1.32,-21.67,-49.75,0,1553378336
Whitianga,NZ,23.33,80,0.89,-36.83,175.7,88,1553378109
LA MATA,CO,32.12,58,0.92,9.15,-73.75,0,1553378336
Karatau,KZ,6.72,77,5.12,43.18,70.46,80,1553378551
Praia da Vitoria,PT,12.22,81,13.47,38.73,-27.07,75,1553377762
Palu,ID,18.87,95,0.67,-0.9,119.87,88,1553378125
Svetlogorsk,RU,-3.0,92,2.0,53.14,59.15,88,1553374800
Half Moon Bay,US,17.78,71,7.2,37.46,-122.43,20,1553378326
Arman,RU,-8.18,69,3.87,59.7,150.17,68,1553378338
Rafai,CF,26.62,60,2.97,4.95,23.92,8,1553378338
Westport,IE,7.22,71,6.71,53.8,-9.52,44,1553378526
Palmas,BR,25.0,94,1.5,-10.18,-48.33,40,1553374800
Katima Mulilo,NA,24.77,42,3.47,-17.5,24.28,0,1553378339
Olivehurst,US,18.33,55,5.1,39.1,-121.55,40,1553378327
Khuzhir,RU,-5.23,71,2.97,53.19,107.35,24,1553378340
Bukama,CD,22.37,93,1.42,-9.2,25.85,48,1553378340
Ilebo,CD,21.87,99,0.87,-4.33,20.59,100,1553378340
Nelson Bay,AU,24.44,88,3.6,-32.72,152.14,24,1553377828
Sao Raimundo das Mangabeiras,BR,27.37,76,2.67,-7.02,-45.48,56,1553378270
Fier,AL,8.32,78,0.52,40.73,19.56,0,1553378341
Lyuban,BY,-0.08,64,3.32,52.8,28.0,12,1553378342
Puerto Carreno,CO,37.0,35,1.62,6.19,-67.49,56,1553374800
Awjilah,LY,18.02,62,5.42,29.14,21.3,0,1553378342
Pombas,BR,33.57,39,1.97,-15.9,-54.74,36,1553378342
Laukaa,FI,2.0,64,3.6,62.42,25.95,0,1553378143
Bose,IT,14.44,35,2.1,45.46,8.01,0,1553378343
Sidi Ali,DZ,10.77,90,2.02,36.1,0.42,0,1553378175
Weligama,LK,25.17,100,1.67,5.97,80.42,32,1553378344
Andra,RU,-4.88,84,2.02,62.52,65.89,36,1553378345
Chara,GR,7.0,81,2.1,39.42,22.43,0,1553374200
Lithakia,GR,13.89,58,2.1,37.72,20.83,0,1553378176
Bethanien,NA,24.52,18,2.57,-26.5,17.16,0,1553378346
Port Elizabeth,US,11.11,17,8.2,39.31,-74.98,1,1553378335
Hami,CN,0.67,42,3.62,42.84,93.51,0,1553378562
Sahuaripa,MX,23.67,31,1.22,29.05,-109.23,0,1553378346
Hervey Bay,AU,29.44,94,2.1,-25.3,152.85,0,1553378408
Mayo,CA,12.0,40,2.6,63.59,-135.9,40,1553374800
Byron Bay,AU,27.22,88,1.0,-28.65,153.62,8,1553378124
Komsomolskiy,RU,-7.28,90,6.12,67.55,63.78,48,1553378348
Necochea,AR,24.47,50,9.07,-38.55,-58.74,56,1553378550
Araouane,ML,25.72,15,4.17,18.9,-3.53,76,1553378348
Sandy Bay,AU,18.89,72,3.6,-42.9,147.33,20,1553378295
Visina,RO,9.44,24,2.6,44.58,25.33,0,1553378205
Puerto El Triunfo,SV,31.0,52,3.6,13.27,-88.55,20,1553374200
Petit Goave,HT,30.0,55,5.1,18.43,-72.87,40,1553378117
Ostersund,SE,0.0,58,13.9,63.18,14.64,8,1553377909
Eldorado,MX,30.56,27,2.6,24.32,-107.36,5,1553378296
Lae,PG,24.0,88,2.6,-6.72,146.98,40,1553374800
Borger,NL,5.0,93,1.0,52.92,6.79,68,1553378328
La Ronge,CA,-1.0,74,6.7,55.1,-105.3,75,1553374800
Revda,RU,-0.48,87,4.17,67.94,34.55,64,1553378351
Monte Santo,BR,24.67,86,1.67,-10.44,-39.33,20,1553378352
Nampula,MZ,24.0,94,2.6,-15.12,39.26,90,1553374800
Lexington,US,16.67,24,2.02,38.05,-84.5,1,1553378267
Mimongo,GA,21.52,98,1.07,-1.62,11.6,92,1553378353
Russas,BR,24.87,95,2.37,-4.93,-37.97,88,1553378353
College,US,10.56,42,3.1,64.86,-147.8,20,1553378132
Coroata,BR,27.37,74,2.52,-6.39,-44.31,88,1553378354
Macau,BR,25.22,94,1.87,-5.11,-36.64,48,1553378354
Zhezkazgan,KZ,1.12,87,0.17,47.8,67.71,88,1553378355
Noyabrsk,RU,-5.38,86,2.07,63.2,75.45,88,1553378355
Mecca,SA,16.52,61,1.17,21.43,39.83,0,1553378355
Qazvin,IR,4.47,98,2.82,36.28,50.01,92,1553378356
Vao,EE,2.32,95,4.57,59.1,26.19,80,1553378570
Haines Junction,CA,7.02,54,1.97,60.75,-137.51,44,1553378356
Mezen,RU,0.52,80,5.72,65.85,44.24,92,1553378356
Buta,CD,21.52,96,1.62,2.79,24.73,32,1553378357
Carauari,BR,31.27,68,1.87,-4.88,-66.9,8,1553378357
Kungurtug,RU,-17.38,57,1.52,50.6,97.53,0,1553378357
Sinjar,SY,12.02,76,3.47,35.59,37.0,20,1553378358
Husavik,CA,10.0,68,2.68,50.56,-96.99,0,1553378153
Rumoi,JP,-7.0,85,3.1,43.93,141.67,75,1553377200
Marsh Harbour,BS,23.47,100,3.47,26.54,-77.06,0,1553378358
Sayyan,YE,10.47,79,0.72,15.17,44.32,20,1553378359
Sisimiut,GL,-21.83,73,0.77,66.94,-53.67,44,1553378354
Brigantine,US,11.0,23,12.3,39.41,-74.36,1,1553378358
Mpika,ZM,18.82,92,3.77,-11.84,31.4,20,1553378573
Tome,JP,-1.0,74,2.6,38.69,141.2,75,1553374800
Balkanabat,TM,2.47,83,1.62,39.51,54.36,8,1553378360
Kuusamo,FI,-1.0,86,5.1,65.96,29.19,0,1553377800
Mitu,IR,-0.98,89,1.42,36.2,46.09,64,1553378361
Vostok,RU,-19.38,57,1.07,46.45,135.83,0,1553378361
Busia,UG,19.22,63,2.92,0.47,34.09,0,1553378361
Tommot,RU,-9.13,87,1.12,58.97,126.27,80,1553378362
Fairbanks,US,10.56,42,3.1,64.84,-147.72,20,1553377828
Upington,ZA,31.0,27,5.1,-28.46,21.24,88,1553374800
Pampa,US,21.0,25,5.1,35.54,-100.96,40,1553377584
Sumter,US,20.56,25,2.6,33.92,-80.34,1,1553378317
Takoradi,GH,28.42,96,2.62,4.89,-1.75,32,1553378363
Muravlenko,RU,-3.63,93,2.87,63.79,74.5,64,1553378363
Palauig,PH,21.72,100,2.87,15.44,119.9,0,1553378364
Henties Bay,NA,16.67,90,2.24,-22.12,14.28,0,1553374927
Cabedelo,BR,29.0,74,4.1,-6.97,-34.84,20,1553374800
Sunrise Manor,US,24.0,16,5.1,36.21,-115.07,1,1553378363
Turbat,PK,20.87,66,3.82,26.0,63.05,100,1553378365
Havre,US,15.0,70,3.6,48.55,-109.68,1,1553377638
Evensk,RU,-6.63,90,8.07,61.92,159.24,0,1553378366
Dunedin,NZ,18.33,70,3.13,-45.87,170.5,56,1553378316
Totolapa,MX,29.0,58,3.1,20.56,-97.48,75,1553373780
Waterbury,US,9.0,41,7.2,41.56,-73.05,1,1553378362
Malanville,NE,27.22,30,2.72,11.86,3.39,0,1553378367
Vetluzhskiy,RU,-3.33,91,1.87,58.39,45.47,0,1553378368
Rafaela,AR,29.44,41,0.45,-31.25,-61.49,0,1553378345
Pontes e Lacerda,BR,29.17,73,1.77,-15.23,-59.33,8,1553378369
Karratha,AU,28.12,60,16.52,-20.74,116.85,80,1553378446
Cananea,MX,22.0,10,5.1,30.98,-110.3,1,1553378154
Stepnyak,KZ,-7.98,70,1.27,52.83,70.79,48,1553378370
Kaffrine,SN,28.0,42,5.1,14.1,-15.55,0,1553374800
Jasper,US,23.89,20,1.57,33.83,-87.28,1,1553378136
La Palma,CO,23.62,84,0.27,5.36,-74.39,44,1553378371
Saint-Junien,FR,12.22,46,3.6,45.89,0.9,0,1553378315
Sur,OM,22.77,93,1.72,22.57,59.53,24,1553378372
Angoche,MZ,28.22,100,4.37,-16.23,39.91,8,1553378372
Magnitogorsk,RU,-3.0,92,2.0,53.42,58.98,92,1553374800
Alto Araguaia,BR,31.52,32,3.02,-17.32,-53.22,0,1553378373
Mapiripan,CO,26.87,88,1.67,2.89,-72.13,92,1553378373
Nago,IT,13.0,50,1.5,45.88,10.89,0,1553378344
Klaksvik,FO,6.0,75,5.7,62.23,-6.59,80,1553377800
Kalabo,ZM,24.42,38,3.92,-15.0,22.67,0,1553378374
Maragogi,BR,26.72,89,3.87,-9.01,-35.22,32,1553378354
Kostakioi,GR,14.0,58,1.0,39.14,20.96,0,1553378220
Waipawa,NZ,21.67,66,1.82,-39.94,176.59,0,1553377937
Englehart,CA,6.0,33,5.1,47.82,-79.87,1,1553376720
Madimba,CM,24.0,94,1.0,4.42,9.93,75,1553374800
Jinchang,CN,-11.03,53,2.02,38.52,102.19,20,1553378376
Graham,US,18.0,14,3.6,36.07,-79.4,1,1553378355
Souillac,FR,14.0,50,2.1,45.6,-0.6,0,1553378289
Stawell,AU,15.56,83,0.45,-37.06,142.77,24,1553377760
Suleja,NG,30.0,40,1.0,9.18,7.18,0,1553374800
Atar,MR,20.77,41,2.52,20.52,-13.05,0,1553378378
Adrar,DZ,21.0,19,3.1,27.87,-0.29,0,1553374800
Conceicao da Barra,BR,25.82,99,6.17,-18.59,-39.73,92,1553378378
Vila Velha,BR,27.0,83,3.6,-3.71,-38.6,75,1553377537
Russell,AR,28.0,32,2.1,-33.01,-68.8,0,1553374800
San Cristobal,EC,18.0,77,4.1,-0.39,-78.55,75,1553377519
Kutum,SD,20.72,32,2.32,14.2,24.66,32,1553378159
Egvekinot,RU,-17.53,69,2.37,66.32,-179.17,88,1553378313
Mwinilunga,ZM,19.47,80,1.02,-11.73,24.43,44,1553378380
Barinas,VE,36.27,32,2.87,8.64,-70.23,0,1553378380
Vanavara,RU,-14.63,71,1.67,60.35,102.28,0,1553378381
Shahr-e Babak,IR,4.02,89,3.92,30.12,55.12,0,1553378381
Beecher,US,13.33,43,2.32,41.34,-87.62,1,1553378222
Rio Gallegos,AR,13.0,82,3.1,-51.62,-69.22,40,1553374800
Avera,US,23.33,19,2.1,33.19,-82.53,1,1553378340
Hacari,CO,22.47,84,1.12,8.32,-73.15,68,1553378382
Virginia Beach,US,16.67,18,3.6,36.85,-75.98,1,1553378226
Fereydunshahr,IR,-9.23,63,1.87,32.94,50.12,8,1553378383
Kasempa,ZM,19.77,73,2.87,-13.46,25.83,12,1553378383
Taoudenni,ML,24.62,15,4.57,22.68,-3.98,36,1553378383
Flinders,AU,23.33,78,3.1,-34.58,150.85,68,1553378540
Klyuchi,RU,-4.88,75,2.67,52.25,79.17,0,1553378384
Atbasar,KZ,-3.33,82,1.32,51.81,68.36,68,1553378384
Mana,RS,5.0,75,0.5,43.52,20.24,0,1553376600
Natal,BR,29.0,74,3.1,-5.81,-35.21,40,1553374800
Namtsy,RU,-14.0,60,4.0,62.72,129.66,40,1553374800
Vasai,IN,21.57,68,3.57,22.43,69.93,0,1553378385
Pitimbu,BR,29.0,74,4.1,-7.47,-34.81,20,1553374800
Swellendam,ZA,21.0,83,1.0,-34.02,20.44,76,1553374800
Litija,SI,8.89,86,1.5,46.06,14.83,0,1553378379
Chahal,GT,26.87,63,1.52,15.75,-89.57,8,1553378087
Berlevag,NO,-2.03,100,3.82,70.86,29.09,0,1553378335
Kimbe,PG,25.87,100,1.52,-5.56,150.15,24,1553378387
